id,Skin Care Clinic,Location,Services,Product,Rep_Name,Order_Date,Order_ID,Ship_Date,Units_Sold,Unit_Price,Total_Revenue
175,Skin Care Clinic,"Moncada, Tarlac",Laser Hair Removal,Cera-Oat Soap,Robert Blake,3/17/2016,673130881,3/23/2016,65,300,494511.78
176,Skin Care Clinic,"Paniqui, Tarlac",Skin Peeling,AhaGlow-Skin Repair Gel,Vanessa Gill,3/19/2016,313044536,4/14/2016,69,700,1452287.92
177,Skin Care Clinic,"Moncada, Tarlac",Laser Hair Removal,Cera-Oat Soap,Phil King,3/20/2016,115309941,4/6/2016,65,300,248552.82
178,Skin Care Clinic,"Gerona, Tarlac",Cauteri Warts Removal,Prolab,Fiona Ball,3/20/2016,107005393,5/4/2016,78,1200,195921.05
179,Skin Care Clinic,"San Roque, Tarlac",Diamond Peel,D' Klenz Bar,Hannah Jackson,3/20/2016,661953580,4/24/2016,63,900,615137.12
180,Skin Care Clinic,"Matatalaib, Tarlac",Diamond Peel,Vape Pure Cee 15%,Emma Walsh,3/21/2016,127589738,4/2/2016,65,600,449024.62
181,Skin Care Clinic,"San Jose, Tarlac",Skin Peeling,Provamed Gluta,Nathan McGrath,3/31/2016,834460818,3/31/2016,91,280,1837330.95
182,Skin Care Clinic,"San Roque, Tarlac",Diamond Peel,D' Klenz Bar,Diana Parr,4/4/2016,968554103,4/8/2016,63,900,605083.36
183,Skin Care Clinic,"San Jose, Tarlac",Skin Peeling,Provamed Gluta,Edward MacDonald,4/9/2016,479216182,4/26/2016,91,280,4038331.08
184,Skin Care Clinic,"Moncada, Tarlac",Laser Hair Removal,Cera-Oat Soap,Evan Stewart,4/12/2016,742443025,4/15/2016,65,300,647702.1
185,Skin Care Clinic,"Gerona, Tarlac",Cauteri Warts Removal,Prolab,Christian Turner,4/18/2016,296438443,4/19/2016,78,1200,74876.1
186,Skin Care Clinic,"Gerona, Tarlac",Cauteri Warts Removal,Prolab,Chloe Bond,4/19/2016,186196649,5/28/2016,78,1200,407168.45
187,Skin Care Clinic,"Moncada, Tarlac",Laser Hair Removal,Brady Super Black,Anthony Rampling,4/22/2016,534633624,6/8/2016,89,280,3858290
188,Skin Care Clinic,"Pinasling, Gerona, Tarlac",Laser Hair Removal,Cera-Oat Soap,Joan Wright,4/28/2016,681006705,6/14/2016,65,300,36125.76
189,Skin Care Clinic,"Matatalaib, Tarlac",Diamond Peel,Vape Pure Cee 15%,Stephanie Brown,5/2/2016,351855885,6/2/2016,65,600,67835.9
190,Skin Care Clinic,"Gerona, Tarlac",Cauteri Warts Removal,Prolab,Gabrielle Harris,5/2/2016,860952031,5/13/2016,78,1200,175232.85
191,Skin Care Clinic,"Pura, Tarlac",Cauteri Warts Removal,Demace Skincare,Christopher Rampling,5/12/2016,285341823,6/8/2016,77,500,5106137.61
192,Skin Care Clinic,"Tarlac, Tarlac",Diamond Peel,D' Klenz Bar,Andrea Wright,5/12/2016,524363124,6/28/2016,63,900,1472197.36
193,Skin Care Clinic,"Pura, Tarlac",Cauteri Warts Removal,Demace Skincare,Eric Baker,5/17/2016,770508801,6/25/2016,77,500,6207333.72
194,Skin Care Clinic,"Paniqui, Tarlac",Skin Peeling,AhaGlow-Skin Repair Gel,Harry Clarkson,5/17/2016,830923306,6/5/2016,69,700,1921237.28
195,Skin Care Clinic,"Pinasling, Gerona, Tarlac",Laser Hair Removal,Cera-Oat Soap,Madeleine Payne,5/20/2016,227486360,6/8/2016,65,300,66466.92
196,Skin Care Clinic,"Moncada, Tarlac",Laser Hair Removal,Brady Super Black,Wendy Scott,5/27/2016,562817418,6/2/2016,89,280,3950539.2
197,Skin Care Clinic,"Matatalaib, Tarlac",Diamond Peel,Vape Pure Cee 15%,Dan Clark,6/3/2016,185177838,7/4/2016,65,600,579629.16
198,Skin Care Clinic,"San Jose, Tarlac",Skin Peeling,Provamed Gluta,Rachel Thomson,6/7/2016,500160586,6/7/2016,91,280,3158690.43
199,Skin Care Clinic,"Paniqui, Tarlac",Skin Peeling,AhaGlow-Skin Repair Gel,Tracey Davies,6/20/2016,881974112,7/11/2016,69,700,1172756.32
200,Skin Care Clinic,"Paniqui, Tarlac",Skin Peeling,AhaGlow-Skin Repair Gel,Nicola Wilson,6/30/2016,393620669,8/2/2016,69,700,2542078.24
201,Skin Care Clinic,"Tarlac, Tarlac",Diamond Peel,Oat Milk Soap,Lauren Randall,7/4/2016,835572326,8/8/2016,76,500,673461.8
202,Skin Care Clinic,"Moncada, Tarlac",Laser Hair Removal,Brady Super Black,Samantha Brown,7/11/2016,867374312,8/3/2016,89,280,1831430.8
203,Skin Care Clinic,"Moncada, Tarlac",Laser Hair Removal,Brady Super Black,Katherine Hughes,7/13/2016,392952907,8/13/2016,89,280,1028294.4
204,Skin Care Clinic,"Paniqui, Tarlac",Skin Peeling,AhaGlow-Skin Repair Gel,Paul Wallace,7/18/2016,177901113,8/13/2016,69,700,956534.16
205,Skin Care Clinic,"Tarlac, Tarlac",Diamond Peel,D' Klenz Bar,Wanda Graham,7/20/2016,162866580,7/26/2016,56,900,723311.7
206,Skin Care Clinic,"Moncada, Tarlac",Laser Hair Removal,Brady Super Black,Tim Johnston,7/21/2016,277083623,9/2/2016,89,280,1773283.2
207,Skin Care Clinic,"Pura, Tarlac",Cauteri Warts Removal,Demace Skincare,Jonathan Berry,7/25/2016,365560901,9/1/2016,77,500,4309673.23
208,Skin Care Clinic,"Tarlac, Tarlac",Diamond Peel,Oat Milk Soap,Kevin Wilson,7/30/2016,435146415,8/12/2016,76,500,1717389.3
209,Skin Care Clinic,"Paniqui, Tarlac",Skin Peeling,AhaGlow-Skin Repair Gel,Joan Rutherford,8/1/2016,590768182,9/7/2016,69,700,73520.64
210,Skin Care Clinic,"San Jose, Tarlac",Skin Peeling,Provamed Gluta,Steven Wright,8/3/2016,775278842,9/22/2016,91,280,461125.77
211,Skin Care Clinic,"Moncada, Tarlac",Laser Hair Removal,Brady Super Black,Elizabeth Mitchell,8/4/2016,432037627,8/18/2016,89,280,3668108
212,Skin Care Clinic,"Tarlac, Tarlac",Diamond Peel,D' Klenz Bar,Neil Payne,8/6/2016,304832684,9/6/2016,56,900,865817.2
213,Skin Care Clinic,"San Roque, Tarlac",Diamond Peel,D' Klenz Bar,Keith Welch,8/6/2016,612573039,8/9/2016,56,900,309262.4
214,Skin Care Clinic,"Pinasling, Gerona, Tarlac",Diamond Peel,Ketoconazole,Ryan North,8/7/2016,716202867,9/20/2016,90,2000,85826.67
215,Skin Care Clinic,"Tarlac, Tarlac",Diamond Peel,D' Klenz Bar,Michelle Sanderson,8/12/2016,505244338,9/19/2016,56,900,289940.92
216,Skin Care Clinic,"Pura, Tarlac",Cauteri Warts Removal,Demace Skincare,Ruth Taylor,8/12/2016,630048596,9/3/2016,77,500,2758525.56
217,Skin Care Clinic,"San Roque, Tarlac",Diamond Peel,D' Klenz Bar,Paul Walsh,8/12/2016,812984693,8/22/2016,56,900,993573.76
218,Skin Care Clinic,"Pinasling, Gerona, Tarlac",Diamond Peel,Ketoconazole,Jack MacLeod,8/16/2016,645713555,8/31/2016,90,2000,91853.85
219,Skin Care Clinic,"Paniqui, Tarlac",Skin Peeling,AhaGlow-Skin Repair Gel,Jacob Lee,8/17/2016,254927718,9/7/2016,69,700,1948296.96
220,Skin Care Clinic,"Matatalaib, Tarlac",Diamond Peel,Vape Pure Cee 15%,Kylie Dyer,8/23/2016,147599017,8/28/2016,65,600,546283.32
221,Skin Care Clinic,"Matatalaib, Tarlac",Diamond Peel,Vape Pure Cee 15%,Deirdre Cameron,8/25/2016,885129249,9/3/2016,65,600,675825.37
222,Skin Care Clinic,"Moncada, Tarlac",Laser Hair Removal,Cera-Oat Soap,Joanne Young,8/26/2016,708215034,9/13/2016,65,300,827136.18
223,Skin Care Clinic,"Pura, Tarlac",Cauteri Warts Removal,Demace Skincare,Joshua Greene,8/31/2016,476436126,10/15/2016,77,500,4488139.32
224,Skin Care Clinic,"San Jose, Tarlac",Skin Peeling,Provamed Gluta,Edward Forsyth,9/2/2016,183022201,10/15/2016,93,280,3877590.99
225,Skin Care Clinic,"Gerona, Tarlac",Cauteri Warts Removal,Prolab,Donna Campbell,9/4/2016,980612885,9/4/2016,78,1200,189752.55
226,Skin Care Clinic,"Matatalaib, Tarlac",Diamond Peel,Vape Pure Cee 15%,Bella Gray,9/10/2016,777840888,10/23/2016,65,600,756738.07
227,Skin Care Clinic,"Pinasling, Gerona, Tarlac",Diamond Peel,Ketoconazole,Andrea Bond,9/13/2016,733563411,9/20/2016,90,2000,61288.77
228,Skin Care Clinic,"Pinasling, Gerona, Tarlac",Diamond Peel,Ketoconazole,Sally Pullman,9/17/2016,765955483,10/7/2016,90,2000,19630.32
229,Skin Care Clinic,"Pura, Tarlac",Cauteri Warts Removal,Demace Skincare,Eric Sharp,9/17/2016,364818465,10/16/2016,77,500,4393062.66
230,Skin Care Clinic,"Moncada, Tarlac",Laser Hair Removal,Cera-Oat Soap,Rachel Lewis,9/17/2016,460379779,11/4/2016,65,300,833391.96
231,Skin Care Clinic,"Gerona, Tarlac",Cauteri Warts Removal,Prolab,Heather Springer,9/20/2016,644772422,10/26/2016,78,1200,63725.35
232,Skin Care Clinic,"Moncada, Tarlac",Laser Hair Removal,Brady Super Black,Christian Lee,9/22/2016,773315894,11/4/2016,89,280,93123.6
233,Skin Care Clinic,"Gerona, Tarlac",Cauteri Warts Removal,Prolab,Rachel Davidson,9/23/2016,806298053,10/24/2016,78,1200,17366.7
234,Skin Care Clinic,"Pura, Tarlac",Cauteri Warts Removal,Demace Skincare,Wendy Mills,9/30/2016,887927329,10/2/2016,77,500,4091552.43
235,Skin Care Clinic,"Pura, Tarlac",Cauteri Warts Removal,Demace Skincare,Anna Bower,10/3/2016,750253188,11/21/2016,77,500,3639398.42
236,Skin Care Clinic,"Tarlac, Tarlac",Diamond Peel,Oat Milk Soap,Kylie May,10/3/2016,899853074,10/26/2016,76,500,1105843.2
237,Skin Care Clinic,"San Jose, Tarlac",Skin Peeling,Provamed Gluta,Michael Newman,10/5/2016,681298100,11/20/2016,93,280,43454.67
238,Skin Care Clinic,"San Jose, Tarlac",Skin Peeling,Provamed Gluta,Sarah Young,10/6/2016,234073007,11/20/2016,93,280,2640609.51
239,Skin Care Clinic,"Tarlac, Tarlac",Diamond Peel,Oat Milk Soap,Liam Rampling,10/7/2016,957276809,11/4/2016,76,500,1714509.5
240,Skin Care Clinic,"Tarlac, Tarlac",Diamond Peel,Oat Milk Soap,Tracey Lee,10/13/2016,773160541,11/21/2016,76,500,872168
241,Skin Care Clinic,"Moncada, Tarlac",Laser Hair Removal,Brady Super Black,Sophie Roberts,10/15/2016,573025262,11/14/2016,89,280,4268820.8
242,Skin Care Clinic,"Pura, Tarlac",Cauteri Warts Removal,Demace Skincare,Heather Lyman,10/19/2016,221007430,11/10/2016,77,500,6424186.65
243,Skin Care Clinic,"Matatalaib, Tarlac",Diamond Peel,Vape Pure Cee 15%,Amy Arnold,10/22/2016,579913604,10/23/2016,65,600,668306.21
244,Skin Care Clinic,"Pinasling, Gerona, Tarlac",Diamond Peel,Ketoconazole,Ruth Rampling,10/25/2016,594003999,11/16/2016,90,2000,73128.54
245,Skin Care Clinic,"Moncada, Tarlac",Laser Hair Removal,Cera-Oat Soap,Leonard Skinner,10/26/2016,489784085,11/1/2016,65,300,1045173
246,Skin Care Clinic,"Gerona, Tarlac",Cauteri Warts Removal,Prolab,Julian Hughes,10/28/2016,373048341,12/12/2016,78,1200,101970.05
247,Skin Care Clinic,"Moncada, Tarlac",Laser Hair Removal,Brady Super Black,Nicholas MacDonald,10/28/2016,759504878,12/8/2016,89,280,1410407.2
248,Skin Care Clinic,"Tarlac, Tarlac",Diamond Peel,D' Klenz Bar,Evan Vaughan,11/7/2016,185941302,12/8/2016,56,900,464953.08
249,Skin Care Clinic,"Gerona, Tarlac",Cauteri Warts Removal,Prolab,Thomas Nash,11/8/2016,106753051,11/14/2016,78,1200,448639.75
250,Skin Care Clinic,"Pinasling, Gerona, Tarlac",Diamond Peel,Ketoconazole,Deirdre Kelly,11/12/2016,731640803,12/30/2016,90,2000,71159.91
251,Skin Care Clinic,"San Roque, Tarlac",Diamond Peel,D' Klenz Bar,Michelle Slater,11/15/2016,414887797,11/17/2016,56,900,368710.72
252,Skin Care Clinic,"Matatalaib, Tarlac",Diamond Peel,Vape Pure Cee 15%,Paul Graham,11/18/2016,823739278,12/29/2016,72,600,131748.76
253,Skin Care Clinic,"Tarlac, Tarlac",Diamond Peel,Oat Milk Soap,Luke Hamilton,11/19/2016,141940200,1/2/2017,76,500,434849.8
254,Skin Care Clinic,"Gerona, Tarlac",Cauteri Warts Removal,Prolab,Lauren Ross,11/20/2016,769464671,12/24/2016,78,1200,26097.5
255,Skin Care Clinic,"San Roque, Tarlac",Diamond Peel,D' Klenz Bar,Gordon Hudson,11/22/2016,687875735,12/2/2016,56,900,718078.88
256,Skin Care Clinic,"San Roque, Tarlac",Diamond Peel,D' Klenz Bar,Lauren Howard,12/1/2016,257890164,12/29/2016,56,900,468264.8
257,Skin Care Clinic,"Gerona, Tarlac",Cauteri Warts Removal,Prolab,Lucas Duncan,12/8/2016,312559163,12/16/2016,67,1200,97604.65
258,Skin Care Clinic,"San Jose, Tarlac",Skin Peeling,Provamed Gluta,Sam Anderson,12/14/2016,207395112,1/26/2017,93,280,707509.53
259,Skin Care Clinic,"Gerona, Tarlac",Cauteri Warts Removal,Prolab,Jason Clark,12/15/2016,608414113,12/23/2016,67,1200,100166.95
260,Skin Care Clinic,"Paniqui, Tarlac",Skin Peeling,AhaGlow-Skin Repair Gel,Rose Jones,12/23/2016,585823476,1/6/2017,69,700,1797171.2
261,Skin Care Clinic,"Paniqui, Tarlac",Skin Peeling,AhaGlow-Skin Repair Gel,Sean Clarkson,12/28/2016,792729079,1/17/2017,69,700,1277931.68
262,Skin Care Clinic,"Paniqui, Tarlac",Skin Peeling,AhaGlow-Skin Repair Gel,Christian Greene,1/1/2017,556738889,1/25/2017,69,700,67393.92
263,Skin Care Clinic,"Tarlac, Tarlac",Diamond Peel,D' Klenz Bar,Luke Harris,1/3/2017,165835034,1/5/2017,58,900,481745.62
264,Skin Care Clinic,"Moncada, Tarlac",Laser Hair Removal,Cera-Oat Soap,Frank Walker,1/3/2017,232389438,1/8/2017,65,300,1228879.32
265,Skin Care Clinic,"Pura, Tarlac",Cauteri Warts Removal,Demace Skincare,Emma Duncan,1/5/2017,876286971,2/15/2017,77,500,1097967.61
266,Skin Care Clinic,"San Jose, Tarlac",Skin Peeling,Provamed Gluta,Deirdre Arnold,1/5/2017,433627212,2/13/2017,93,280,3705459.87
267,Skin Care Clinic,"Moncada, Tarlac",Laser Hair Removal,Cera-Oat Soap,Claire Langdon,1/7/2017,364554107,1/18/2017,65,300,1299371.28
268,Skin Care Clinic,"San Roque, Tarlac",Diamond Peel,D' Klenz Bar,Diane Powell,1/10/2017,202230287,2/19/2017,58,900,582462.4
269,Skin Care Clinic,"Moncada, Tarlac",Laser Hair Removal,Cera-Oat Soap,Una Henderson,1/12/2017,521396386,2/14/2017,65,300,249010.56
270,Skin Care Clinic,"Moncada, Tarlac",Laser Hair Removal,Cera-Oat Soap,Stephen King,1/13/2017,670878255,2/15/2017,65,300,1012978.62
271,Skin Care Clinic,"Pinasling, Gerona, Tarlac",Diamond Peel,Ketoconazole,Jonathan Morrison,1/14/2017,402614009,3/2/2017,90,2000,12007.71
272,Skin Care Clinic,"Moncada, Tarlac",Laser Hair Removal,Brady Super Black,Jane Burgess,1/26/2017,888647449,2/28/2017,89,280,4102247.6
273,Skin Care Clinic,"San Jose, Tarlac",Skin Peeling,Provamed Gluta,Rose Poole,1/27/2017,626523101,2/16/2017,93,280,406280.07
274,Skin Care Clinic,"Gerona, Tarlac",Cauteri Warts Removal,Prolab,Olivia Black,1/28/2017,686583554,2/22/2017,67,1200,198625.7
275,Skin Care Clinic,"Pinasling, Gerona, Tarlac",Diamond Peel,Ketoconazole,Jessica Poole,1/31/2017,469839179,2/22/2017,90,2000,43934.97
276,Skin Care Clinic,"Paniqui, Tarlac",Skin Peeling,AhaGlow-Skin Repair Gel,John McDonald,1/31/2017,945717132,2/13/2017,69,700,1932469.6
277,Skin Care Clinic,"Paniqui, Tarlac",Skin Peeling,AhaGlow-Skin Repair Gel,Sally Underwood,2/1/2017,249237573,2/21/2017,69,700,967766.48
278,Skin Care Clinic,"Moncada, Tarlac",Laser Hair Removal,Cera-Oat Soap,Alexandra Ince,2/2/2017,720786225,2/15/2017,65,300,841631.28
279,Skin Care Clinic,"Paniqui, Tarlac",Skin Peeling,AhaGlow-Skin Repair Gel,Faith Sanderson,2/3/2017,238414323,2/27/2017,86,700,242771.28
280,Skin Care Clinic,"Paniqui, Tarlac",Skin Peeling,AhaGlow-Skin Repair Gel,Mary Dickens,2/8/2017,576264083,3/14/2017,86,700,2094061.84
281,Skin Care Clinic,"San Roque, Tarlac",Diamond Peel,Vitamin E Cream,Rebecca Powell,2/13/2017,851652705,3/27/2017,72,700,198452.48
282,Skin Care Clinic,"Pura, Tarlac",Cauteri Warts Removal,Demace Skincare,Christian White,2/27/2017,343699395,4/2/2017,77,500,4652244.24
283,Skin Care Clinic,"Tarlac, Tarlac",Diamond Peel,D' Klenz Bar,Christopher Harris,3/1/2017,151868665,4/19/2017,58,900,25882.08
284,Skin Care Clinic,"Tarlac, Tarlac",Diamond Peel,D' Klenz Bar,Nicola Kerr,3/4/2017,419306790,3/12/2017,58,900,162071.12
285,Skin Care Clinic,"Tarlac, Tarlac",Diamond Peel,D' Klenz Bar,Faith Paterson,3/7/2017,248178422,3/22/2017,58,900,56231.9
286,Skin Care Clinic,"Pura, Tarlac",Cauteri Warts Removal,Demace Skincare,Bella Coleman,3/10/2017,276595246,3/15/2017,77,500,6209287.35
287,Skin Care Clinic,"Pura, Tarlac",Cauteri Warts Removal,Demace Skincare,Victor Dyer,3/14/2017,442214143,5/3/2017,77,500,6580454.69
288,Skin Care Clinic,"Gerona, Tarlac",Cauteri Warts Removal,Prolab,Olivia Bower,3/16/2017,668365561,5/4/2017,67,1200,146003.65
289,Skin Care Clinic,"Tarlac, Tarlac",Diamond Peel,Oat Milk Soap,Austin Parsons,3/17/2017,235702931,4/3/2017,76,500,1766963
290,Skin Care Clinic,"San Roque, Tarlac",Diamond Peel,Vitamin E Cream,Anna Knox,3/17/2017,526834189,5/2/2017,72,700,87314.72
291,Skin Care Clinic,"Gerona, Tarlac",Cauteri Warts Removal,Prolab,Carol Hodges,3/17/2017,410452497,3/26/2017,67,1200,41281.5
292,Skin Care Clinic,"San Roque, Tarlac",Diamond Peel,Vitamin E Cream,Kimberly Dickens,3/23/2017,745783555,5/9/2017,72,700,304016.96
293,Skin Care Clinic,"Pura, Tarlac",Cauteri Warts Removal,Demace Skincare,Anna Grant,3/24/2017,361137616,4/18/2017,77,500,4884726.21
294,Skin Care Clinic,"San Jose, Tarlac",Skin Peeling,Provamed Gluta,Adam Churchill,3/25/2017,479447925,4/4/2017,93,280,3438403.5
295,Skin Care Clinic,"Moncada, Tarlac",Laser Hair Removal,Cera-Oat Soap,Amy Sharp,3/25/2017,990708720,5/4/2017,78,300,241228.98
296,Skin Care Clinic,"Gerona, Tarlac",Cauteri Warts Removal,Prolab,Steven Wilkins,3/28/2017,221062791,4/18/2017,67,1200,296420.15
297,Skin Care Clinic,"Moncada, Tarlac",Laser Hair Removal,Cera-Oat Soap,Boris Gibson,3/29/2017,584534299,5/18/2017,78,300,845903.52
298,Skin Care Clinic,"Tarlac, Tarlac",Diamond Peel,Oat Milk Soap,Neil Young,4/8/2017,305959212,4/23/2017,76,500,1848214.5
299,Skin Care Clinic,"Pinasling, Gerona, Tarlac",Diamond Peel,Vape Pure Cee 15%,Piers Sutherland,4/9/2017,131209647,5/3/2017,72,600,62557.65
300,Skin Care Clinic,"Tarlac, Tarlac",Diamond Peel,D' Klenz Bar,Julian Ogden,4/12/2017,959853875,5/4/2017,58,900,145894.82
301,Skin Care Clinic,"Pura, Tarlac",Cauteri Warts Removal,Demace Skincare,Colin Pullman,4/22/2017,369681203,5/9/2017,77,500,3834533.26
302,Skin Care Clinic,"Pinasling, Gerona, Tarlac",Diamond Peel,Vape Pure Cee 15%,Donna Ince,4/23/2017,627122199,4/29/2017,72,600,76972.5
303,Skin Care Clinic,"Moncada, Tarlac",Laser Hair Removal,Cera-Oat Soap,Wanda Ellison,4/27/2017,509914386,6/11/2017,78,300,587890.74
304,Skin Care Clinic,"Matatalaib, Tarlac",Diamond Peel,Vape Pure Cee 15%,Yvonne Russell,4/29/2017,133336961,6/13/2017,72,600,508769.25
305,Skin Care Clinic,"Pinasling, Gerona, Tarlac",Diamond Peel,Vape Pure Cee 15%,John Rutherford,4/30/2017,251529252,5/5/2017,72,600,18193.5
306,Skin Care Clinic,"Gerona, Tarlac",Cauteri Warts Removal,Prolab,Joshua Powell,5/1/2017,328316819,5/30/2017,67,1200,241900.1
307,Skin Care Clinic,"Matatalaib, Tarlac",Diamond Peel,Vape Pure Cee 15%,Alexander Gibson,5/6/2017,481065833,5/8/2017,72,600,565980.25
308,Skin Care Clinic,"Gerona, Tarlac",Cauteri Warts Removal,Prolab,Piers Tucker,5/10/2017,567614495,6/28/2017,67,1200,407975.1
309,Skin Care Clinic,"Gerona, Tarlac",Cauteri Warts Removal,Prolab,Una Watson,5/11/2017,274200570,6/26/2017,67,1200,42562.65
310,Skin Care Clinic,"San Jose, Tarlac",Skin Peeling,Provamed Gluta,Adrian Fisher,5/12/2017,918334138,6/12/2017,93,280,1828471.26
311,Skin Care Clinic,"Matatalaib, Tarlac",Diamond Peel,Vape Pure Cee 15%,Amelia Payne,5/13/2017,290455615,5/28/2017,72,600,92027.98
312,Skin Care Clinic,"Pura, Tarlac",Cauteri Warts Removal,Demace Skincare,Stewart Wallace,5/14/2017,554154527,5/15/2017,77,500,3577747.74
313,Skin Care Clinic,"San Roque, Tarlac",Diamond Peel,Vitamin E Cream,Liam Wilkins,5/17/2017,208630645,6/28/2017,72,700,797634.72
314,Skin Care Clinic,"Tarlac, Tarlac",Diamond Peel,D' Klenz Bar,Ella Abraham,5/17/2017,366653096,5/31/2017,58,900,1487295.24
315,Skin Care Clinic,"Paniqui, Tarlac",Skin Peeling,AhaGlow-Skin Repair Gel,Nicholas Clark,5/17/2017,958912742,6/28/2017,86,700,623904.32
316,Skin Care Clinic,"Tarlac, Tarlac",Diamond Peel,Oat Milk Soap,Warren Peake,5/18/2017,563915622,6/10/2017,76,500,826708.3
317,Skin Care Clinic,"San Jose, Tarlac",Skin Peeling,Provamed Gluta,Neil James,5/20/2017,207922542,7/1/2017,93,280,3271756.95
318,Skin Care Clinic,"Matatalaib, Tarlac",Diamond Peel,Vape Pure Cee 15%,Eric Piper,5/23/2017,109724509,6/16/2017,72,600,717180.75
319,Skin Care Clinic,"Tarlac, Tarlac",Diamond Peel,Oat Milk Soap,Carol Ellison,5/31/2017,261765420,7/17/2017,76,500,218042
320,Skin Care Clinic,"Tarlac, Tarlac",Diamond Peel,Oat Milk Soap,John Blake,6/5/2017,104845464,7/24/2017,76,500,1019654.9
321,Skin Care Clinic,"Pura, Tarlac",Cauteri Warts Removal,Demace Skincare,Penelope Reid,6/14/2017,132082116,7/22/2017,77,500,3183114.48
322,Skin Care Clinic,"Tarlac, Tarlac",Diamond Peel,Oat Milk Soap,Dan Miller,6/16/2017,640942227,7/4/2017,76,500,1625647.1
323,Skin Care Clinic,"Tarlac, Tarlac",Diamond Peel,D' Klenz Bar,Grace Arnold,6/19/2017,555142009,7/10/2017,58,900,1188110.72
324,Skin Care Clinic,"Tarlac, Tarlac",Diamond Peel,D' Klenz Bar,Megan Hunter,6/22/2017,384013640,7/19/2017,58,900,1082271.5
325,Skin Care Clinic,"San Roque, Tarlac",Diamond Peel,Vitamin E Cream,Joe Grant,6/23/2017,556480538,8/7/2017,88,700,416575.36
326,Skin Care Clinic,"Pura, Tarlac",Cauteri Warts Removal,Demace Skincare,Benjamin Taylor,6/23/2017,816204202,7/1/2017,77,500,1213578.32
327,Skin Care Clinic,"Gerona, Tarlac",Cauteri Warts Removal,Prolab,Diane Rutherford,6/25/2017,732568633,7/5/2017,67,1200,104057.85
328,Skin Care Clinic,"Pura, Tarlac",Cauteri Warts Removal,Demace Skincare,Leah Avery,6/27/2017,927666509,7/17/2017,77,500,4002937.3
329,Skin Care Clinic,"Pura, Tarlac",Cauteri Warts Removal,Demace Skincare,Piers Jackson,6/28/2017,343239343,7/13/2017,77,500,653814.84
330,Skin Care Clinic,"San Jose, Tarlac",Skin Peeling,Provamed Gluta,Maria Rampling,6/28/2017,827539861,7/1/2017,93,280,2653266.21
331,Skin Care Clinic,"Tarlac, Tarlac",Diamond Peel,Oat Milk Soap,Bernadette Baker,6/29/2017,594540441,7/30/2017,76,500,1354123.1
332,Skin Care Clinic,"Moncada, Tarlac",Laser Hair Removal,Cera-Oat Soap,Julia Glover,7/3/2017,286210000,8/5/2017,78,300,725365.32
333,Skin Care Clinic,"Pura, Tarlac",Cauteri Warts Removal,Demace Skincare,Brandon Jones,7/4/2017,165380990,7/27/2017,77,500,5857386.55
334,Skin Care Clinic,"San Jose, Tarlac",Skin Peeling,Provamed Gluta,Tracey Kerr,7/7/2017,368547379,7/12/2017,93,280,90284.46
335,Skin Care Clinic,"Paniqui, Tarlac",Skin Peeling,AhaGlow-Skin Repair Gel,Maria Mills,7/8/2017,767401731,7/30/2017,86,700,20422.4
336,Skin Care Clinic,"Gerona, Tarlac",Cauteri Warts Removal,Prolab,Frank Dickens,7/12/2017,643817985,8/19/2017,67,1200,422494.8
337,Skin Care Clinic,"San Roque, Tarlac",Diamond Peel,Vitamin E Cream,Mary Peters,7/12/2017,147119653,8/9/2017,88,700,527713.12
338,Skin Care Clinic,"San Jose, Tarlac",Skin Peeling,Provamed Gluta,Kylie Clark,7/14/2017,286014306,8/15/2017,93,280,2887415.16
339,Skin Care Clinic,"Pura, Tarlac",Cauteri Warts Removal,Demace Skincare,Vanessa Wilkins,7/19/2017,673573338,7/20/2017,99,500,2718150.54
340,Skin Care Clinic,"Tarlac, Tarlac",Diamond Peel,D' Klenz Bar,Lucas Newman,7/22/2017,768662583,8/10/2017,58,900,492221.7
341,Skin Care Clinic,"Tarlac, Tarlac",Diamond Peel,Oat Milk Soap,Julia Kerr,7/24/2017,905392587,8/16/2017,76,500,954653.7
342,Skin Care Clinic,"Matatalaib, Tarlac",Diamond Peel,Vape Pure Cee 15%,Diana Piper,7/26/2017,499690234,8/28/2017,72,600,678277.27
343,Skin Care Clinic,"San Roque, Tarlac",Diamond Peel,Vitamin E Cream,Victor McLean,7/26/2017,404010903,9/4/2017,88,700,509135.52
344,Skin Care Clinic,"Gerona, Tarlac",Cauteri Warts Removal,Prolab,Victor Reid,7/27/2017,414244067,8/7/2017,67,1200,136656
345,Skin Care Clinic,"San Roque, Tarlac",Diamond Peel,Vitamin E Cream,Piers Newman,7/29/2017,542669522,9/11/2017,88,700,745945.28
346,Skin Care Clinic,"Moncada, Tarlac",Laser Hair Removal,Brady Super Black,Molly Marshall,8/4/2017,356506621,9/3/2017,89,280,3097999.2
347,Skin Care Clinic,"Moncada, Tarlac",Laser Hair Removal,Brady Super Black,Sebastian Anderson,8/13/2017,845058763,9/22/2017,89,280,228218.4
348,Skin Care Clinic,"Pura, Tarlac",Cauteri Warts Removal,Demace Skincare,Tracey Bailey,8/14/2017,946759974,9/14/2017,99,500,4017965.7
349,Skin Care Clinic,"Gerona, Tarlac",Cauteri Warts Removal,Prolab,Colin Slater,8/14/2017,554045522,9/20/2017,67,1200,153595.65
